Key,Time,Type,Scan code
t,1.643,down,20
t,1.744,up,20
e,1.747,down,18
e,1.835,up,18
s,1.918,down,31
s,2.026,up,31
t,2.049,down,20
t,2.132,up,20
space,3.385,down,57
t,3.531,down,20
space,3.547,up,57
e,3.612,down,18
t,3.634,up,20
e,3.697,up,18
s,3.774,down,31
t,3.887,down,20
s,3.889,up,31
t,3.985,up,20
space,5.039,down,57
space,5.176,up,57
t,5.190,down,20
e,5.285,down,18
t,5.301,up,20
e,5.381,up,18
s,5.443,down,31
s,5.552,up,31
t,5.602,down,20
t,5.698,up,20
space,6.924,down,57
space,7.064,up,57
t,7.090,down,20
e,7.163,down,18
t,7.195,up,20
e,7.264,up,18
s,7.331,down,31
t,7.442,down,20
s,7.446,up,31
t,7.564,up,20
space,8.639,down,57
space,8.784,up,57
t,8.832,down,20
e,8.905,down,18
t,8.935,up,20
e,9.020,up,18
s,9.072,down,31
t,9.191,down,20
s,9.205,up,31
t,9.309,up,20
space,10.12,down,57
