Key,Time,Type,Scan code
j,1.018,down,36
e,1.077,down,18
j,1.102,up,36
space,1.146,down,57
e,1.169,up,18
space,1.242,up,57
t,1.322,down,20
e,1.372,down,18
t,1.401,up,20
e,1.440,up,18
s,1.521,down,31
t,1.593,down,20
s,1.621,up,31
t,1.675,up,20
space,1.676,down,57
space,1.775,up,57
u,1.833,down,22
u,1.908,up,22
n,1.913,down,49
e,1.960,down,18
n,1.998,up,49
space,2.043,down,57
e,2.049,up,18
space,2.155,up,57
f,2.293,down,33
o,2.397,down,24
f,2.399,up,33
i,2.451,down,23
o,2.479,up,24
s,2.516,down,31
i,2.534,up,23
space,2.600,down,57
s,2.603,up,31
space,2.694,up,57
d,2.700,down,32
d,2.773,up,32
e,2.831,down,18
space,2.891,down,57
e,2.932,up,18
p,2.951,down,25
space,2.982,up,57
l,3.017,down,38
p,3.042,up,25
l,3.092,up,38
u,3.163,down,22
s,3.240,down,31
u,3.250,up,22
space,3.320,down,57
s,3.347,up,31
space,3.423,up,57
m,3.511,down,39
m,3.586,up,39
o,3.712,down,24
o,3.787,up,24
n,3.832,down,49
n,3.910,up,49
space,3.933,down,57
space,4.028,up,57
m,4.151,down,39
a,4.191,down,16
m,4.217,up,39
a,4.261,up,16
s,4.365,down,31
s,4.439,up,31
k,4.451,down,37
k,4.537,up,37
space,4.578,down,57
space,4.656,up,57
a,4.698,down,16
a,4.779,up,16
f,4.895,down,33
i,4.970,down,23
f,4.977,up,33
n,5.054,down,49
i,5.060,up,23
space,5.117,down,57
n,5.136,up,49
d,5.194,down,32
space,5.203,up,57
d,5.270,up,32
e,5.331,down,18
space,5.413,down,57
e,5.418,up,18
space,5.478,up,57
v,5.520,down,47
o,5.594,down,24
v,5.626,up,47
i,5.656,down,23
o,5.676,up,24
i,5.746,up,23
r,5.782,down,19
space,5.846,down,57
r,5.867,up,19
space,5.940,up,57
s,5.992,down,31
s,6.075,up,31
i,6.077,down,23
space,6.147,down,57
i,6.161,up,23
space,6.242,up,57
l,6.257,down,38
e,6.310,down,18
l,6.342,up,38
e,6.389,up,18
s,6.455,down,31
space,6.560,down,57
s,6.562,up,31
space,6.642,up,57
v,6.695,down,47
v,6.769,up,47
a,6.877,down,16
l,6.935,down,38
a,6.960,up,16
l,7.004,up,38
u,7.091,down,22
e,7.122,down,18
u,7.162,up,22
e,7.199,up,18
space,7.217,down,57
space,7.297,up,57
d,7.311,down,32
d,7.389,up,32
e,7.454,down,18
space,7.522,down,57
e,7.544,up,18
space,7.618,up,57
0,7.679,down,82
0,7.764,up,82
space,7.845,down,57
space,7.959,up,57
s,8.001,down,31
s,8.098,up,31
e,8.164,down,18
e,8.252,up,18
r,8.328,down,19
o,8.404,down,24
r,8.413,up,19
o,8.457,up,24
n,8.478,down,49
t,8.532,down,20
n,8.572,up,49
space,8.605,down,57
t,8.623,up,20
space,8.691,up,57
a,9.082,down,16
a,9.157,up,16
d,9.268,down,32
d,9.314,up,32
backspace,9.557,down,14
backspace,9.638,up,14
f,9.666,down,33
f,9.751,up,33
f,9.827,down,33
f,9.920,up,33
i,10.03,down,23
