Key,Time,Type,Scan code
t,2.013,down,20
t,2.088,up,20
e,2.387,down,18
e,2.478,up,18
s,2.602,down,31
s,2.695,up,31
t,2.823,down,20
t,2.909,up,20
space,2.965,down,57
t,3.100,down,20
space,3.102,up,57
t,3.192,up,20
e,3.317,down,18
e,3.394,up,18
s,3.485,down,31
s,3.563,up,31
t,3.676,down,20
t,3.750,up,20
t,3.832,down,20
t,3.911,up,20
t,3.983,down,20
t,4.063,up,20
t,4.135,down,20
t,4.216,up,20
t,4.287,down,20
t,4.372,up,20
t,4.440,down,20
t,4.523,up,20
t,4.588,down,20
t,4.677,up,20
t,4.746,down,20
t,4.830,up,20
t,4.894,down,20
t,4.975,up,20
t,5.050,down,20
