Key,Time,Type,Scan code
j,1.806,down,36
e,1.860,down,18
j,1.892,up,36
space,1.950,down,57
e,1.980,up,18
t,2.072,down,20
space,2.081,up,57
e,2.119,down,18
t,2.159,up,20
e,2.198,up,18
s,2.277,down,31
t,2.338,down,20
s,2.380,up,31
t,2.424,up,20
space,2.437,down,57
u,2.552,down,22
space,2.556,up,57
u,2.652,up,22
n,2.656,down,49
e,2.692,down,18
n,2.759,up,49
space,2.761,down,57
e,2.782,up,18
space,2.855,up,57
f,2.877,down,33
o,2.942,down,24
f,2.963,up,33
i,2.988,down,23
o,3.020,up,24
s,3.075,down,31
i,3.079,up,23
space,3.145,down,57
s,3.159,up,31
space,3.233,up,57
d,3.249,down,32
d,3.320,up,32
e,3.381,down,18
space,3.436,down,57
p,3.457,down,25
e,3.475,up,18
l,3.520,down,38
space,3.542,up,57
p,3.553,up,25
l,3.596,up,38
u,3.704,down,22
s,3.734,down,31
u,3.770,up,22
space,3.825,down,57
s,3.832,up,31
space,3.915,up,57
e,3.916,down,18
n,3.986,down,49
e,4.005,up,18
space,4.047,down,57
n,4.059,up,49
space,4.128,up,57
é,4.186,down,3
"""",4.215,down,4
"""",4.235,up,4
é,4.270,up,3
s,4.641,down,31
s,4.759,up,31
p,5.287,down,25
