Key,Time,Type,Scan code
a,0.691,down,16
a,0.781,up,16
space,0.810,down,57
n,0.892,down,49
space,0.899,up,57
n,0.972,up,49
o,1.051,down,24
o,1.125,up,24
u,1.127,down,22
v,1.175,down,47
u,1.216,up,22
v,1.261,up,47
e,1.356,down,18
e,1.424,up,18
a,1.501,down,16
u,1.572,down,22
a,1.583,up,16
space,1.625,down,57
u,1.639,up,22
space,1.718,up,57
j,1.736,down,36
e,1.803,down,18
j,1.824,up,36
space,1.884,down,57
e,1.892,up,18
t,1.985,down,20
space,1.990,up,57
e,2.041,down,18
t,2.067,up,20
e,2.122,up,18
s,2.194,down,31
t,2.256,down,20
s,2.285,up,31
t,2.330,up,20
space,2.353,down,57
space,2.437,up,57
l,2.484,down,38
a,2.535,down,16
l,2.561,up,38
space,2.608,down,57
a,2.610,up,16
space,2.702,up,57
h,2.708,down,35
e,2.760,down,18
h,2.789,up,35
e,2.834,up,18
a,2.919,down,16
a,2.992,up,16
t,3.094,down,20
t,3.172,up,20
m,3.190,down,39
m,3.268,up,39
a,3.301,down,16
p,3.367,down,25
a,3.381,up,16
p,3.454,up,25
space,3.467,down,57
space,3.550,up,57
l,3.587,down,38
l,3.660,up,38
a,3.679,down,16
a,3.763,up,16
l,3.772,down,38
l,3.854,up,38
a,3.862,down,16
a,3.954,up,16
l,3.961,down,38
l,4.053,up,38
a,4.061,down,16
a,4.145,up,16
l,4.162,down,38
l,4.252,up,38
a,4.253,down,16
a,4.321,up,16
l,4.358,down,38
a,4.426,down,16
l,4.448,up,38
a,4.502,up,16
l,4.546,down,38
a,4.603,down,16
l,4.633,up,38
a,4.683,up,16
l,4.743,down,38
a,4.767,down,16
l,4.826,up,38
a,4.853,up,16
a,4.932,down,16
l,4.983,down,38
a,5.012,up,16
l,5.057,up,38
a,5.108,down,16
