Key,Time,Type,Scan code
t,0.468,down,20
t,0.558,up,20
e,0.572,down,18
e,0.654,up,18
s,0.749,down,31
s,0.850,up,31
t,0.897,down,20
space,0.988,down,57
t,0.999,up,20
space,1.126,up,57
t,1.189,down,20
e,1.292,down,18
t,1.310,up,20
e,1.364,up,18
s,1.455,down,31
s,1.555,up,31
t,1.603,down,20
t,1.690,up,20
space,1.707,down,57
space,1.824,up,57
t,1.941,down,20
t,2.039,up,20
e,2.092,down,18
e,2.180,up,18
s,2.253,down,31
s,2.361,up,31
t,2.420,down,20
t,2.499,up,20
space,2.528,down,57
space,2.643,up,57
e,2.702,down,18
e,2.757,up,18
t,2.803,down,20
t,2.903,up,20
s,2.956,down,31
s,3.062,up,31
space,3.096,down,57
space,3.193,up,57
t,3.273,down,20
t,3.363,up,20
e,3.387,down,18
e,3.462,up,18
s,3.546,down,31
space,3.622,down,57
s,3.640,up,31
space,3.727,up,57
t,3.755,down,20
t,3.847,up,20
e,3.873,down,18
e,3.956,up,18
s,4.044,down,31
s,4.157,up,31
t,4.268,down,20
t,4.377,up,20
space,4.413,down,57
space,4.546,up,57
e,4.602,down,18
e,4.692,up,18
s,4.768,down,31
s,4.876,up,31
t,4.902,down,20
t,4.994,up,20
space,4.997,down,57
space,5.117,up,57
e,5.163,down,18
