Key,Time,Type,Scan code
a,0.828,down,16
l,0.891,down,38
a,0.916,up,16
l,0.960,up,38
l,1.019,down,38
e,1.075,down,18
l,1.102,up,38
e,1.164,up,18
z,1.242,down,17
space,1.332,down,57
z,1.336,up,17
space,1.422,up,57
s,1.444,down,31
s,1.541,up,31
i,1.549,down,23
i,1.637,up,23
l,1.739,down,38
l,1.834,up,38
t,1.884,down,20
t,1.960,up,20
e,2.069,down,18
e,2.160,up,18
space,2.190,down,57
space,2.280,up,57
l,2.332,down,38
p,2.376,up,25
l,2.413,up,38
a,2.421,down,16
i,2.495,down,23
a,2.500,up,16
i,2.581,up,23
t,2.616,down,20
space,2.694,down,57
t,2.707,up,20
space,2.765,up,57
m,2.767,down,39
m,2.852,up,39
a,2.871,down,16
a,2.944,up,16
r,3.025,down,19
r,3.091,up,19
c,3.172,down,46
h,3.246,down,35
c,3.269,up,46
h,3.323,up,35
e,3.351,down,18
e,3.432,up,18
space,3.475,down,57
space,3.569,up,57
p,4.077,down,25
l,4.162,down,38
p,4.187,up,25
e,4.215,down,18
l,4.262,up,38
e,4.281,up,18
a,4.394,down,16
a,4.460,up,16
s,4.563,down,31
s,4.622,up,31
e,4.699,down,18
space,4.753,down,57
e,4.780,up,18
space,4.832,up,57
l,4.865,down,38
a,4.921,down,16
l,4.943,up,38
a,5.005,up,16
space,5.007,down,57
