Key,Time,Type,Scan code
b,2.311,down,48
o,2.364,down,24
b,2.395,up,48
o,2.444,up,24
j,2.498,down,36
n,2.500,down,49
n,2.568,up,49
j,2.576,up,36
j,2.653,down,36
n,2.672,down,49
n,2.697,up,49
j,2.760,up,36
o,2.833,down,24
u,2.911,down,22
o,2.918,up,24
r,2.985,down,19
u,3.009,up,22
space,3.033,down,57
r,3.095,up,19
space,3.154,up,57
j,3.158,down,36
e,3.204,down,18
j,3.251,up,36
e,3.307,up,18
space,3.317,down,57
space,3.403,up,57
s,3.405,down,31
u,3.486,down,22
s,3.520,up,31
u,3.550,up,22
i,3.608,down,23
s,3.670,down,31
q,3.679,down,30
i,3.688,up,23
q,3.754,up,30
space,3.757,down,57
s,3.767,up,31
space,3.864,up,57
m,4.041,down,39
',4.085,down,5
m,4.131,up,39
',4.163,up,5
a,4.261,down,16
p,4.310,down,25
a,4.349,up,16
p,4.378,up,25
e,4.448,down,18
l,4.510,down,38
e,4.537,up,18
l,4.578,up,38
l,4.641,down,38
l,4.706,up,38
e,4.715,down,18
e,4.788,up,18
space,4.842,down,57
space,4.937,up,57
u,5.360,down,22
n,5.424,down,49
u,5.426,up,22
n,5.506,up,49
space,5.536,down,57
space,5.648,up,57
p,5.768,down,25
e,5.826,down,18
p,5.854,up,25
e,5.895,up,18
t,5.975,down,20
t,6.061,up,20
i,6.074,down,23
t,6.119,down,20
i,6.148,up,23
t,6.209,up,20
e,6.321,down,18
e,6.342,up,18
space,6.355,down,57
space,6.461,up,57
p,6.560,down,25
o,6.632,down,24
p,6.633,up,25
o,6.718,up,24
m,6.805,down,39
m,6.862,up,39
m,6.919,down,39
e,6.991,down,18
m,6.993,up,39
space,7.066,down,57
e,7.091,up,18
space,7.163,up,57
d,7.224,down,32
d,7.342,up,32
',7.533,down,5
',7.628,up,5
u,7.660,down,22
u,7.740,up,22
n,7.771,down,49
n,7.846,up,49
space,7.865,down,57
space,7.973,up,57
p,8.023,down,25
p,8.115,up,25
e,8.115,down,18
e,8.205,up,18
u,8.270,down,22
i,8.273,down,23
i,8.324,up,23
u,8.326,up,22
backspace,8.476,down,14
ù,8.520,down,40
backspace,8.528,up,14
ù,8.542,up,40
m,8.622,down,39
m,8.720,up,39
e,8.776,down,18
i,8.846,down,23
e,8.868,up,18
i,8.921,up,23
r,8.974,down,19
l,9.012,down,38
r,9.061,up,19
l,9.077,up,38
l,9.143,down,38
l,9.219,up,38
e,9.279,down,18
e,9.367,up,18
u,9.372,down,22
r,9.446,down,19
u,9.462,up,22
space,9.511,down,57
r,9.544,up,19
space,9.606,up,57
d,9.681,down,32
d,9.794,up,32
backspace,10.05,down,14
