Key,Time,Type,Scan code
j,0.672,down,36
e,0.716,down,18
j,0.766,up,36
e,0.807,up,18
space,0.821,down,57
t,0.917,down,20
space,0.933,up,57
e,0.965,down,18
t,0.989,up,20
e,1.042,up,18
s,1.122,down,31
t,1.168,down,20
s,1.215,up,31
t,1.241,up,20
space,1.247,down,57
space,1.338,up,57
u,1.347,down,22
u,1.437,up,22
n,1.439,down,49
e,1.503,down,18
n,1.527,up,49
space,1.584,down,57
e,1.611,up,18
n,1.640,down,49
space,1.687,up,57
n,1.720,up,49
o,1.786,down,24
o,1.865,up,24
u,1.906,down,22
v,1.932,down,47
u,1.988,up,22
v,1.998,up,47
e,2.108,down,18
l,2.171,down,38
e,2.179,up,18
l,2.241,up,38
l,2.309,down,38
e,2.345,down,18
l,2.395,up,38
space,2.445,down,57
e,2.454,up,18
f,2.544,down,33
space,2.559,up,57
o,2.585,down,24
f,2.636,up,33
i,2.641,down,23
o,2.674,up,24
s,2.730,down,31
i,2.750,up,23
space,2.833,down,57
s,2.835,up,31
space,2.938,up,57
e,2.944,down,18
j,3.027,down,36
e,3.030,up,18
n,3.082,up,49
j,3.083,up,36
space,3.100,down,57
space,3.181,up,57
e,3.191,down,18
e,3.278,up,18
s,3.363,down,31
s,3.459,up,31
^,3.505,down,26
^,3.618,up,26
é,3.654,down,3
é,3.735,up,3
r,3.845,down,19
r,3.912,up,19
a,4.012,down,16
",",4.088,down,50
a,4.091,up,16
",",4.178,up,50
t,4.199,down,20
space,4.265,down,57
t,4.284,up,20
space,4.354,up,57
q,4.426,down,30
i,4.506,down,23
q,4.517,up,30
i,4.583,up,23
e,4.596,down,18
space,4.654,down,57
e,4.674,up,18
space,4.731,up,57
s,4.773,down,31
s,4.843,up,31
a,4.911,down,16
space,4.982,down,57
a,5.005,up,16
space,5.078,up,57
",",5.094,down,50
