Key,Time,Type,Scan code
j,1.302,down,36
',1.364,down,5
j,1.387,up,36
',1.433,up,5
a,1.549,down,16
i,1.634,down,23
a,1.636,up,16
space,1.678,down,57
i,1.707,up,23
space,1.771,up,57
r,1.788,down,19
r,1.869,up,19
e,1.940,down,18
e,2.006,up,18
t,2.104,down,20
i,2.187,down,23
t,2.189,up,20
i,2.261,up,23
r,2.275,down,19
r,2.367,up,19
e,2.452,down,18
e,2.534,up,18
r,2.596,down,19
space,2.676,down,57
r,2.701,up,19
l,2.769,down,38
space,2.776,up,57
e,2.822,down,18
l,2.853,up,38
e,2.909,up,18
s,2.971,down,31
space,3.053,down,57
s,3.072,up,31
space,3.144,up,57
t,3.191,down,20
t,3.270,up,20
r,3.337,down,19
r,3.423,up,19
u,3.428,down,22
u,3.500,up,22
c,3.508,down,46
c,3.593,up,46
s,3.673,down,31
s,3.762,up,31
space,3.777,down,57
s,3.867,down,31
space,3.878,up,57
s,3.951,up,31
a,4.005,down,16
space,4.088,down,57
a,4.108,up,16
space,4.191,up,57
m,4.193,down,39
a,4.237,down,16
m,4.272,up,39
a,4.314,up,16
r,4.409,down,19
r,4.475,up,19
c,4.556,down,46
h,4.624,down,35
c,4.653,up,46
h,4.701,up,35
e,4.744,down,18
space,4.807,down,57
e,4.840,up,18
l,4.879,down,38
space,4.902,up,57
l,4.953,up,38
a,4.976,down,16
space,5.058,down,57
