Key,Time,Type
d,0.7093,down
d,0.8059,up
e,1.4214,down
e,1.5325,up
f,2.6955,down
f,2.7468,up
f,3.5333,down
f,3.5995,up
f,4.4651,down
f,4.5278,up
g,5.0128,down
g,5.0826,up
g,5.5895,down
g,5.6536,up
h,6.1743,down
h,6.2278,up
h,7.0390,down
h,7.1207,up
h,8.5593,down
h,8.6271,up
j,9.1516,down
j,9.2040,up
j,9.9050,down
j,9.9598,up
h,10.446,down
