Key,Time,Type,Scan code
verr.maj,0.845,down,58
verr.maj,0.937,up,58
W,1.205,down,44
W,1.301,up,44
O,1.339,down,24
A,1.403,down,16
O,1.412,up,24
A,1.471,up,16
W,1.565,down,44
W,1.666,up,44
space,1.701,down,57
space,1.801,up,57
U,1.831,down,22
I,1.834,down,23
I,1.889,up,23
U,1.895,up,22
S,1.979,down,31
O,2.039,down,24
S,2.079,up,31
O,2.149,up,24
J,2.256,down,36
J,2.312,up,36
S,2.418,down,31
P,2.430,down,25
P,2.504,up,25
S,2.516,up,31
A,2.582,down,16
space,2.662,down,57
A,2.679,up,16
M,2.761,down,39
space,2.763,up,57
A,2.826,down,16
M,2.869,up,39
A,2.912,up,16
I,2.943,down,23
R,3.012,down,19
I,3.031,up,23
H,3.034,down,35
R,3.099,up,19
H,3.118,up,35
O,3.179,down,24
I,3.183,down,23
C,3.213,down,46
O,3.238,up,24
I,3.247,up,23
J,3.262,down,36
C,3.307,up,46
U,3.311,up,22
I,3.390,down,23
Z,3.466,down,17
I,3.518,up,23
Z,3.568,up,17
I,3.609,down,23
U,3.618,down,22
H,3.662,down,35
U,3.679,up,22
I,3.685,up,23
E,3.761,down,18
H,3.771,up,35
P,3.799,down,25
O,3.816,down,24
E,3.862,up,18
P,3.883,up,25
O,3.893,up,24
H,3.903,down,35
J,3.926,down,36
J,3.954,up,36
H,3.992,up,35
O,4.013,down,24
K,4.137,down,37
J,4.139,down,36
K,4.197,up,37
J,4.209,up,36
S,4.224,down,31
P,4.229,down,25
I,4.252,down,23
S,4.269,up,31
P,4.275,up,25
I,4.321,up,23
J,4.323,down,36
J,4.393,up,36
S,4.395,down,31
S,4.444,up,31
D,4.447,up,32
U,4.516,down,22
U,4.590,up,22
H,4.663,down,35
J,4.677,down,36
J,4.697,up,36
H,4.746,up,35
H,4.805,down,35
H,4.871,up,35
H,4.923,down,35
H,4.998,up,35
H,5.048,down,35
