Key,Time,Type,Scan code
t,0.769,down,20
e,0.836,down,18
t,0.864,up,20
e,0.917,up,18
s,0.985,down,31
t,1.081,down,20
s,1.093,up,31
space,1.138,down,57
t,1.163,up,20
space,1.262,up,57
t,1.340,down,20
t,1.428,up,20
e,1.434,down,18
e,1.534,up,18
s,1.614,down,31
space,1.725,down,57
s,1.736,up,31
t,1.805,up,20
space,1.842,up,57
e,1.927,down,18
e,2.015,up,18
s,2.066,down,31
s,2.186,up,31
t,2.187,down,20
space,2.216,down,57
t,2.275,up,20
space,2.344,up,57
e,2.376,down,18
e,2.465,up,18
s,2.525,down,31
t,2.599,down,20
s,2.627,up,31
t,2.669,up,20
s,2.702,down,31
t,2.755,down,20
s,2.790,up,31
t,2.827,up,20
s,2.867,down,31
t,2.924,down,20
s,2.947,up,31
t,2.979,up,20
s,3.028,down,31
t,3.069,down,20
s,3.121,up,31
t,3.132,up,20
s,3.192,down,31
t,3.199,down,20
s,3.265,up,31
t,3.281,up,20
t,3.336,down,20
s,3.352,down,31
t,3.424,up,20
s,3.443,up,31
t,3.498,down,20
s,3.533,down,31
t,3.584,up,20
s,3.608,up,31
t,3.642,down,20
s,3.714,down,31
t,3.720,up,20
t,3.773,down,20
s,3.784,up,31
t,3.860,up,20
s,3.893,down,31
t,3.915,down,20
s,3.961,up,31
t,4.014,up,20
d,4.093,down,32
k,4.137,down,37
d,4.199,up,32
j,4.213,down,36
k,4.229,up,37
f,4.241,down,33
j,4.310,up,36
s,4.312,down,31
d,4.318,down,32
f,4.335,up,33
i,4.337,down,23
s,4.406,up,31
d,4.424,up,32
j,4.432,down,36
i,4.441,up,23
f,4.512,up,33
j,4.520,up,36
s,4.538,down,31
p,4.540,down,25
o,4.549,down,24
p,4.618,up,25
o,4.632,up,24
s,4.668,up,31
i,4.714,down,23
o,4.727,down,24
o,4.755,up,24
i,4.803,up,23
i,4.884,down,23
o,4.889,down,24
o,4.961,up,24
i,4.968,up,23
i,5.047,down,23
