Key,Time,Type,Scan code
a,1.248,down,16
a,1.332,up,16
l,1.340,down,38
l,1.400,up,38
l,1.464,down,38
l,1.545,up,38
e,1.551,down,18
e,1.633,up,18
z,1.715,down,17
space,1.774,down,57
z,1.807,up,17
p,1.882,down,25
space,1.900,up,57
l,1.945,down,38
e,1.971,down,18
p,1.979,up,25
l,2.033,up,38
e,2.057,up,18
a,2.150,down,16
a,2.227,up,16
s,2.312,down,31
s,2.393,up,31
e,2.488,down,18
e,2.577,up,18
space,2.664,down,57
space,2.781,up,57
j,2.958,down,36
e,3.020,down,18
j,3.041,up,36
e,3.119,up,18
space,3.151,down,57
space,3.251,up,57
t,3.369,down,20
t,3.471,up,20
',3.635,down,5
',3.718,up,5
e,3.806,down,18
e,3.907,up,18
n,3.911,down,49
space,3.971,down,57
n,3.994,up,49
space,4.078,up,57
c,4.088,down,46
o,4.143,down,24
i,4.156,down,23
c,4.201,up,46
i,4.205,up,23
o,4.216,up,24
n,4.268,down,49
n,4.375,up,49
j,4.521,down,36
j,4.611,up,36
u,4.693,down,22
r,4.746,down,19
u,4.775,up,22
r,4.822,up,19
e,4.894,down,18
e,4.994,up,18
space,5.101,down,57
