Key,Time,Type,Scan code
a,0.285,down,16
a,0.360,up,16
l,0.652,down,38
l,0.718,up,38
l,0.786,down,38
l,0.862,up,38
e,0.884,down,18
e,0.959,up,18
z,1.035,down,17
z,1.135,up,17
space,1.150,down,57
space,1.242,up,57
s,1.292,down,31
s,1.395,up,31
',1.501,down,5
',1.579,up,5
i,1.586,down,23
i,1.648,up,23
l,1.725,down,38
space,1.756,down,57
l,1.806,up,38
space,1.848,up,57
t,1.878,down,20
t,1.949,up,20
e,2.042,down,18
space,2.128,down,57
e,2.152,up,18
p,2.179,down,25
space,2.225,up,57
l,2.244,down,38
p,2.286,up,25
a,2.316,down,16
l,2.345,up,38
a,2.408,up,16
i,2.443,down,23
t,2.527,down,20
i,2.539,up,23
space,2.601,down,57
t,2.618,up,20
space,2.677,up,57
m,2.709,down,39
m,2.788,up,39
a,2.792,down,16
a,2.866,up,16
r,2.961,down,19
r,3.027,up,19
c,3.121,down,46
h,3.207,down,35
c,3.212,up,46
h,3.280,up,35
e,3.307,down,18
e,3.395,up,18
space,3.439,down,57
space,3.524,up,57
j,3.560,down,36
e,3.645,down,18
j,3.654,up,36
e,3.732,up,18
space,3.750,down,57
space,3.830,up,57
d,4.010,down,32
d,4.101,up,32
é,4.212,down,3
é,4.283,up,3
c,4.509,down,46
c,4.597,up,46
è,4.726,down,8
d,4.804,down,32
è,4.806,up,8
d,4.882,up,32
e,4.954,down,18
e,5.038,up,18
space,5.050,down,57
