Key,Time,Type,Scan code
b,1.520,down,48
o,1.564,down,24
b,1.605,up,48
o,1.633,up,24
n,1.682,down,49
n,1.755,up,49
j,1.846,down,36
j,1.917,up,36
o,1.988,down,24
o,2.051,up,24
u,2.053,down,22
r,2.067,down,19
u,2.127,up,22
space,2.149,down,57
r,2.172,up,19
space,2.245,up,57
e,2.281,down,18
j,2.291,down,36
j,2.372,up,36
e,2.383,up,18
space,2.388,down,57
s,2.467,down,31
space,2.479,up,57
u,2.540,down,22
s,2.558,up,31
u,2.610,up,22
i,2.669,down,23
s,2.683,down,31
i,2.744,up,23
space,2.762,down,57
s,2.783,up,31
space,2.861,up,57
e,2.874,down,18
e,2.952,up,18
n,2.954,down,49
space,3.016,down,57
n,3.030,up,49
t,3.100,down,20
space,3.104,up,57
t,3.184,up,20
r,3.260,down,19
r,3.321,up,19
a,3.431,down,16
i,3.463,down,23
n,3.505,down,49
a,3.516,up,16
i,3.533,up,23
space,3.565,down,57
n,3.578,up,49
space,3.640,up,57
d,3.647,down,32
d,3.729,up,32
e,3.783,down,18
space,3.842,down,57
e,3.876,up,18
t,3.940,down,20
space,3.942,up,57
e,3.993,down,18
t,4.019,up,20
e,4.073,up,18
s,4.135,down,31
t,4.204,down,20
s,4.226,up,31
t,4.280,up,20
e,4.302,down,18
e,4.382,up,18
r,4.443,down,19
space,4.514,down,57
r,4.544,up,19
space,4.610,up,57
l,4.693,down,38
e,4.758,down,18
l,4.782,up,38
e,4.836,up,18
space,4.843,down,57
space,4.929,up,57
h,5.420,down,35
e,5.481,down,18
h,5.485,up,35
e,5.562,up,18
a,5.646,down,16
t,5.694,down,20
a,5.733,up,16
t,5.757,up,20
m,5.910,down,39
m,6.006,up,39
a,6.027,down,16
p,6.089,down,25
a,6.107,up,16
p,6.174,up,25
space,6.202,down,57
space,6.299,up,57
a,6.359,down,16
a,6.445,up,16
v,6.653,down,47
e,6.703,down,18
v,6.726,up,47
e,6.767,up,18
c,6.852,down,46
space,6.929,down,57
c,6.965,up,46
m,6.975,down,39
space,7.027,up,57
m,7.072,up,39
o,7.147,down,24
o,7.227,up,24
n,7.243,down,49
space,7.297,down,57
n,7.336,up,49
c,7.355,down,46
space,7.366,up,57
c,7.442,up,46
l,7.471,down,38
a,7.541,down,16
l,7.554,up,38
a,7.611,up,16
v,7.711,down,47
v,7.787,up,47
i,7.796,down,23
i,7.865,up,23
e,7.881,down,18
e,7.948,up,18
r,8.007,down,19
space,8.064,down,57
r,8.096,up,19
space,8.160,up,57
w,8.233,down,44
o,8.368,down,24
w,8.375,up,44
o,8.445,up,24
u,8.503,down,22
u,8.583,up,22
a,8.598,down,16
a,8.687,up,16
h,8.711,down,35
h,8.801,up,35
space,8.815,down,57
space,8.930,up,57
c,9.028,down,46
c,9.128,up,46
',9.223,down,5
e,9.290,down,18
',9.299,up,5
e,9.366,up,18
s,9.427,down,31
t,9.455,down,20
s,9.530,up,31
t,9.531,up,20
space,9.555,down,57
space,9.639,up,57
i,9.673,down,23
i,9.755,up,23
n,9.797,down,49
s,9.845,down,31
n,9.888,up,49
s,9.940,up,31
a,10.02,down,16
