Key,Time,Type,Scan code
d,1.178,down,32
k,1.229,down,37
o,1.232,down,24
i,1.235,down,23
d,1.243,up,32
f,1.258,down,33
o,1.289,up,24
k,1.292,up,37
i,1.294,up,23
j,1.308,down,36
f,1.345,up,33
d,1.349,down,32
j,1.377,up,36
o,1.401,down,24
i,1.417,down,23
d,1.423,up,32
f,1.452,down,33
o,1.454,up,24
i,1.470,up,23
j,1.483,down,36
f,1.514,up,33
d,1.517,down,32
j,1.526,up,36
p,1.546,down,25
o,1.572,down,24
i,1.577,down,23
o,1.592,up,24
p,1.603,up,25
f,1.616,down,33
j,1.623,down,36
j,1.670,up,36
f,1.678,up,33
d,1.687,down,32
o,1.691,down,24
i,1.705,down,23
o,1.740,up,24
i,1.758,up,23
d,1.764,up,32
f,1.786,down,33
j,1.806,up,36
p,1.843,down,25
f,1.845,up,33
i,1.849,down,23
p,1.879,up,25
o,1.893,up,24
i,1.899,up,23
j,1.922,down,36
j,1.946,up,36
f,1.952,down,33
o,1.981,down,24
i,2.002,down,23
f,2.015,up,33
o,2.041,up,24
i,2.050,up,23
j,2.063,down,36
j,2.083,up,36
d,2.090,up,32
f,2.123,down,33
p,2.125,down,25
j,2.145,down,36
p,2.165,up,25
d,2.180,down,32
f,2.187,up,33
j,2.194,up,36
d,2.252,up,32
f,2.275,down,33
j,2.317,down,36
f,2.340,up,33
j,2.348,up,36
d,2.351,down,32
d,2.444,up,32
f,3.334,down,33
f,3.380,up,33
d,3.384,down,32
d,3.462,up,32
f,3.479,down,33
f,3.559,up,33
d,3.565,down,32
d,3.621,up,32
f,3.634,down,33
f,3.709,up,33
d,3.715,down,32
d,3.791,up,32
f,3.799,down,33
f,3.875,up,33
d,3.895,down,32
f,3.980,down,33
d,4.000,up,32
f,4.077,up,33
d,4.088,down,32
f,4.177,down,33
d,4.182,up,32
d,4.267,down,32
f,4.273,up,33
d,4.345,up,32
f,4.351,down,33
d,4.433,down,32
f,4.440,up,33
d,4.528,up,32
b,4.704,down,48
o,4.784,down,24
b,4.801,up,48
o,4.867,up,24
n,4.904,down,49
n,4.966,up,49
j,5.045,down,36
j,5.107,up,36
o,5.162,down,24
u,5.223,down,22
o,5.224,up,24
u,5.291,up,22
space,5.300,down,57
r,5.334,up,19
space,5.416,up,57
j,5.442,down,36
e,5.457,down,18
j,5.519,up,36
e,5.545,up,18
space,5.563,down,57
s,5.654,down,31
space,5.668,up,57
u,5.704,down,22
s,5.750,up,31
u,5.767,up,22
i,5.826,down,23
s,5.832,down,31
i,5.895,up,23
space,5.909,down,57
s,5.935,up,31
space,6.012,up,57
e,6.014,down,18
n,6.092,down,49
e,6.098,up,18
space,6.136,down,57
n,6.154,up,49
space,6.235,up,57
t,6.239,down,20
t,6.331,up,20
r,6.381,down,19
r,6.461,up,19
a,6.542,down,16
i,6.614,down,23
a,6.641,up,16
n,6.665,down,49
space,6.681,down,57
i,6.683,up,23
n,6.737,up,49
d,6.772,down,32
space,6.787,up,57
d,6.866,up,32
',6.942,down,5
',7.007,up,5
é,7.082,down,3
é,7.157,up,3
c,7.249,down,46
c,7.341,up,46
r,7.427,down,19
r,7.500,up,19
i,7.538,down,23
r,7.565,down,19
i,7.603,up,23
r,7.641,up,19
e,7.696,down,18
e,7.790,up,18
space,7.804,down,57
space,7.908,up,57
j,7.908,down,36
d,7.912,down,32
j,7.963,up,36
o,7.974,down,24
i,7.985,down,23
d,7.990,up,32
i,8.007,up,23
f,8.019,down,33
j,8.047,down,36
j,8.081,up,36
f,8.084,up,33
d,8.099,down,32
i,8.107,down,23
p,8.128,up,25
i,8.156,up,23
j,8.181,down,36
d,8.184,up,32
f,8.193,down,33
j,8.204,up,36
o,8.236,down,24
i,8.242,down,23
p,8.244,down,25
f,8.252,up,33
p,8.266,up,25
d,8.268,down,32
o,8.274,up,24
i,8.289,up,23
j,8.301,down,36
s,8.331,up,31
d,8.341,up,32
j,8.349,up,36
f,8.360,down,33
o,8.377,down,24
p,8.399,up,25
o,8.415,up,24
f,8.426,up,33
d,8.437,down,32
s,8.440,down,31
j,8.486,up,36
s,8.488,up,31
d,8.502,up,32
i,8.520,down,23
o,8.522,down,24
f,8.527,down,33
o,8.542,up,24
i,8.573,up,23
j,8.581,down,36
f,8.585,up,33
d,8.599,down,32
j,8.618,up,36
o,8.646,down,24
i,8.659,down,23
f,8.683,down,33
o,8.697,up,24
i,8.714,up,23
j,8.716,down,36
f,8.737,up,33
j,8.743,up,36
d,8.768,down,32
i,8.782,down,23
s,8.784,down,31
o,8.786,down,24
s,8.805,up,31
d,8.835,up,32
i,8.840,up,23
f,8.850,down,33
j,8.879,up,36
f,8.910,up,33
o,8.922,down,24
d,8.934,down,32
o,8.945,up,24
j,8.973,down,36
i,8.981,up,23
d,8.996,up,32
j,9.015,up,36
f,9.023,down,33
o,9.046,down,24
i,9.067,down,23
f,9.074,up,33
o,9.095,up,24
d,9.097,down,32
i,9.106,up,23
j,9.125,down,36
j,9.151,up,36
d,9.156,up,32
f,9.186,down,33
o,9.188,down,24
i,9.195,down,23
o,9.234,up,24
f,9.243,up,33
i,9.252,up,23
j,9.264,down,36
d,9.266,down,32
j,9.300,up,36
o,9.324,down,24
d,9.339,up,32
i,9.348,down,23
f,9.358,down,33
o,9.383,up,24
i,9.391,up,23
f,9.408,up,33
j,9.420,down,36
j,9.445,up,36
d,9.453,down,32
o,9.475,down,24
i,9.479,down,23
o,9.505,up,24
d,9.533,up,32
j,9.559,down,36
j,9.580,up,36
i,9.622,down,23
i,9.689,up,23
i,9.761,down,23
i,9.830,up,23
j,9.851,down,36
j,9.988,up,36
p,10.01,down,25
