Key,Time,Type,Scan code
t,1.033,down,20
t,1.119,up,20
e,1.609,down,18
e,1.713,up,18
s,1.828,down,31
s,1.932,up,31
t,2.292,down,20
t,2.388,up,20
space,2.622,down,57
space,2.755,up,57
t,2.782,down,20
t,2.877,up,20
e,3.245,down,18
e,3.334,up,18
s,3.446,down,31
s,3.575,up,31
t,3.701,down,20
t,3.817,up,20
space,3.901,down,57
space,4.010,up,57
t,4.074,down,20
t,4.183,up,20
e,4.328,down,18
e,4.439,up,18
s,4.558,down,31
s,4.664,up,31
t,4.827,down,20
t,4.932,up,20
space,5.025,down,57
