Key,Time,Type,Scan code
t,0.467,down,20
t,0.585,up,20
e,0.965,down,18
e,1.075,up,18
s,1.310,down,31
s,1.439,up,31
t,1.705,down,20
t,1.831,up,20
space,1.904,down,57
space,2.047,up,57
t,2.129,down,20
t,2.244,up,20
e,2.433,down,18
e,2.539,up,18
s,2.645,down,31
s,2.755,up,31
t,2.904,down,20
t,3.023,up,20
space,3.061,down,57
space,3.216,up,57
t,3.231,down,20
t,3.327,up,20
e,3.484,down,18
e,3.580,up,18
s,3.704,down,31
s,3.800,up,31
t,3.930,down,20
t,4.026,up,20
space,4.078,down,57
space,4.217,up,57
t,4.225,down,20
t,4.324,up,20
e,4.454,down,18
e,4.554,up,18
s,4.655,down,31
s,4.746,up,31
t,4.861,down,20
t,4.960,up,20
space,4.986,down,57
space,5.088,up,57
t,5.170,down,20
