Key,Time,Type,Scan code
d,0.497,down,32
d,0.594,up,32
z,0.999,down,17
z,1.074,up,17
s,1.309,down,31
s,1.384,up,31
q,1.599,down,30
q,1.678,up,30
q,1.837,down,30
q,1.900,up,30
q,2.036,down,30
q,2.106,up,30
q,2.198,down,30
q,2.307,up,30
t,2.955,down,20
t,3.049,up,20
e,3.144,down,18
e,3.235,up,18
s,3.311,down,31
s,3.408,up,31
t,3.430,down,20
space,3.479,down,57
t,3.505,up,20
space,3.586,up,57
t,3.653,down,20
e,3.700,down,18
t,3.728,up,20
e,3.774,up,18
s,3.842,down,31
s,3.942,up,31
t,3.949,down,20
t,4.037,up,20
space,4.049,down,57
e,4.159,down,18
space,4.161,up,57
e,4.253,up,18
s,4.318,down,31
s,4.438,up,31
t,4.612,down,20
t,4.705,up,20
space,4.824,down,57
space,4.932,up,57
e,4.980,down,18
e,5.061,up,18
t,5.135,down,20
t,5.211,up,20
s,5.246,down,31
s,5.359,up,31
space,5.393,down,57
space,5.501,up,57
t,5.537,down,20
e,5.610,down,18
t,5.627,up,20
e,5.694,up,18
s,5.760,down,31
space,5.835,down,57
s,5.862,up,31
space,5.943,up,57
t,5.976,down,20
e,6.055,down,18
t,6.059,up,20
e,6.138,up,18
s,6.201,down,31
space,6.276,down,57
s,6.301,up,31
space,6.372,up,57
t,6.397,down,20
t,6.472,up,20
e,6.486,down,18
e,6.562,up,18
s,6.633,down,31
space,6.705,down,57
s,6.736,up,31
space,6.815,up,57
t,6.838,down,20
t,6.911,up,20
e,6.926,down,18
e,6.998,up,18
s,7.063,down,31
space,7.143,down,57
s,7.162,up,31
space,7.242,up,57
t,7.252,down,20
t,7.333,up,20
e,7.344,down,18
e,7.417,up,18
s,7.496,down,31
space,7.567,down,57
s,7.595,up,31
t,7.660,down,20
space,7.662,up,57
t,7.735,up,20
e,7.772,down,18
e,7.855,up,18
s,7.917,down,31
space,7.986,down,57
s,8.013,up,31
space,8.099,up,57
t,8.101,down,20
e,8.179,down,18
t,8.181,up,20
e,8.260,up,18
s,8.317,down,31
space,8.376,down,57
s,8.415,up,31
space,8.494,up,57
t,8.501,down,20
e,8.588,down,18
t,8.590,up,20
e,8.674,up,18
s,8.745,down,31
space,8.798,down,57
s,8.842,up,31
space,8.928,up,57
t,8.939,down,20
e,9.005,down,18
t,9.009,up,20
e,9.082,up,18
s,9.158,down,31
space,9.222,down,57
s,9.248,up,31
t,9.309,down,20
space,9.328,up,57
t,9.380,up,20
e,9.419,down,18
e,9.512,up,18
s,9.605,down,31
s,9.695,up,31
space,9.774,down,57
space,9.880,up,57
t,9.929,down,20
t,10.00,up,20
e,11.05,down,18
