Key,Time,Type,Scan code
j,1.574,down,36
e,1.641,down,18
j,1.658,up,36
space,1.707,down,57
e,1.736,up,18
t,1.815,down,20
space,1.829,up,57
e,1.870,down,18
t,1.905,up,20
e,1.946,up,18
s,2.017,down,31
t,2.074,down,20
s,2.115,up,31
t,2.154,up,20
space,2.159,down,57
space,2.245,up,57
i,2.269,down,23
u,2.275,down,22
u,2.343,up,22
i,2.344,up,23
n,2.363,down,49
n,2.446,up,49
backspace,2.712,down,14
backspace,2.801,up,14
backspace,2.891,down,14
backspace,2.992,up,14
u,3.405,down,22
n,3.466,down,49
u,3.480,up,22
e,3.534,down,18
n,3.558,up,49
space,3.613,down,57
e,3.624,up,18
space,3.713,up,57
f,3.743,down,33
o,3.814,down,24
f,3.830,up,33
i,3.860,down,23
o,3.893,up,24
s,3.942,down,31
i,3.965,up,23
space,4.006,down,57
s,4.029,up,31
space,4.108,up,57
d,4.121,down,32
d,4.186,up,32
e,4.255,down,18
space,4.316,down,57
e,4.357,up,18
p,4.378,down,25
space,4.422,up,57
l,4.428,down,38
p,4.469,up,25
l,4.511,up,38
u,4.601,down,22
u,4.680,up,22
s,4.682,down,31
s,4.777,up,31
space,4.809,down,57
space,4.913,up,57
a,5.214,down,16
